AKAM,08-27-21,112.2,1870000.0,1610000.0,18270000000,31.97,0,0.44,Neutral,1167,469,12,0,7,5,0,2.5,12.69,24.78
AIMC,08-27-21,61.33,201029.0,317426.0,3980000000,26.78,0.54,2.54,Positive,444,259,5,0,4,1,0,-1.76,4.63,17.4
AGTC,08-27-21,3.62,339117.0,1880000.0,154770000,0,0,2.18,Positive,422,136,6,0,6,0,0,203.87,424.86,866.85
ALCO,08-27-21,37.66,21273.0,39358.0,283430000,5.33,5.39,0.51,Negative,186,95,1,0,1,0,0,16.83,16.83,16.83
AKBA,08-27-21,2.85,3670000.0,4740000.0,497430000,0,0,1.69,Neutral,394,172,6,0,4,1,1,5.26,103.51,180.7
AGYS,08-27-21,57.3,108396.0,143613.0,1410000000,0,0,1.48,Positive,277,150,5,0,2,3,0,4.71,9.95,15.18
AKUS,08-27-21,11.15,98806.0,161146.0,384450000,0,0,1.06,Neutral,9,5,2,0,1,1,0,79.37,101.79,124.22
AGIO,08-27-21,45.05,328422.0,741155.0,2660000000,1.98,0,1.61,Neutral,465,199,11,0,6,4,1,-13.43,44.28,106.44
AGRX,08-27-21,1.11,813639.0,1220000.0,103230000,0,0,0.96,Neutral,412,133,5,0,5,0,0,-7.21,306.31,530.63
ALEC,08-27-21,27.21,677751.0,958082.0,2200000000,0,0,1.05,Neutral,132,70,5,0,5,0,0,13.93,47.0,109.48
AKTS,08-27-21,9.99,918932.0,651020.0,503240000,0,0,1.4,Neutral,215,111,5,0,5,0,0,40.14,74.17,100.2
AKTX,08-27-21,1.86,196350.0,302325.0,88530000,0,0,1.19,Positive,260,110,1,0,1,0,0,-100.0,-100.0,-100.0
AKRO,08-27-21,23.01,179570.0,260234.0,802170000,0,0,0.51,Positive,76,41,6,0,6,0,0,99.91,157.84,252.02
ALDX,08-27-21,9.04,413223.0,1520000.0,523090000,0,0,1.71,Neutral,464,188,8,0,8,0,0,143.36,200.22,253.98
ALGN,08-27-21,701.85,382603.0,595816.0,55450000000,79.94,0,1.69,Neutral,731,278,14,0,13,1,0,-35.88,-1.85,12.56
ALLT,08-27-21,16.53,192342.0,262938.0,584880000,0,0,0.61,Positive,447,255,2,0,2,0,0,33.09,33.09,33.09
ALOT,08-27-21,15.25,3956.0,20052.0,110270000,76.25,0,0.79,Neutral,147,88,1,0,0,1,0,-100.0,-100.0,-100.0
ALTM,08-27-21,65.49,54198.0,53586.0,1060000000,15.71,9.08,3.89,Positive,2,6,2,0,0,0,2,-63.35,-47.32,-31.29
ALRM,08-27-21,83.71,228445.0,308688.0,4179999999,52.65,0,1.12,Neutral,394,163,8,1,4,3,0,-19.96,24.92,43.35
ALKS,08-27-21,31.11,1310000.0,1640000.0,5020000000,0,0,0.95,Neutral,640,246,5,0,1,4,0,-38.93,-18.03,6.08
ALTO,08-27-21,4.96,1820000.0,3390000.0,361120000,45.1,0,3.01,Neutral,5,4,3,0,3,0,0,81.45,101.61,121.77
ALLO,08-27-21,24.4,494779.0,1020000.0,3470000000,0,0,1.08,Neutral,229,121,10,0,9,1,0,63.93,82.62,125.41
ALBO,08-27-21,29.82,191461.0,198903.0,574210000,0,0,1.46,Positive,288,150,6,0,6,0,0,117.97,153.42,174.98
ALNA,08-27-21,0.97,1050000.0,2069999.9999999998,77750000,0,0,2.16,Negative,237,110,3,0,3,0,0,312.37,1034.02,1755.67
ALT,08-27-21,14.69,1150000.0,1610000.0,583280000,0,0,1.36,Neutral,20,4,6,0,6,0,0,42.95,97.41,185.91
ALRS,08-27-21,30.25,24217.0,26684.0,520390000,9.82,2.23,0.82,Neutral,2,5,2,0,0,2,0,-30.58,-30.58,-30.58
AMAL,08-27-21,15.74,31068.0,64109.0,489450000,10.09,2.1,0.84,Neutral,76,57,4,0,3,1,0,-17.41,5.65,20.71
ALYA,08-27-21,2.81,12128.0,553650.0,144360000,0,0,0.92,Neutral,3,9,4,0,0,4,0,13.88,23.84,42.35
ALNY,08-27-21,203.93,376820.0,647146.0,24240000000,0,0,1.2,Neutral,1015,265,15,0,7,8,0,-76.95,-16.97,22.59
AMED,08-27-21,177.56,186690.0,234531.0,5790000000,23.83,0,0.57,Neutral,417,272,10,0,7,3,0,23.9,55.64,97.12
ALLK,08-27-21,86.26,195875.0,254279.0,4660000000,0,0,0.89,Neutral,165,100,7,0,6,1,0,-11.28,75.64,166.64
AMCX,08-27-21,48.24,299861.0,756616.0,2000000000,7.9,0,1.28,Neutral,500,376,8,0,1,4,3,-58.54,1.8,86.57
AMNB,08-27-21,34.73,27274.0,21299.0,377720000,9.98,3.2,1.13,Neutral,228,167,2,0,1,1,0,-10.74,-2.1,6.54
AMAT,08-27-21,136.55,8340000.0,8750000.0,124800000000,23.75,0.72,1.44,Positive,1792,583,23,0,21,2,0,-19.44,12.75,42.8
